county_name,state,population_18_24
Baldwin,Alabama,205974
Calhoun,Alabama,106749
Cullman,Alabama,79924
DeKalb,Alabama,66970
Elmore,Alabama,78384
Etowah,Alabama,89146
Houston,Alabama,95892
Jefferson,Alabama,616396
Lauderdale,Alabama,88594
Lee,Alabama,188767
Limestone,Alabama,101586
Madison,Alabama,380054
Marshall,Alabama,94867
Mobile,Alabama,377294
Montgomery,Alabama,211258
Morgan,Alabama,112625
St. Clair,Alabama,85007
Shelby,Alabama,210702
Talladega,Alabama,66954
Tuscaloosa,Alabama,249554
Anchorage Municipality,Alaska,275557
Fairbanks North Star Borough,Alaska,96581
Matanuska-Susitna Borough,Alaska,110612
Apache,Arizona,63109
Cochise,Arizona,105214
Coconino,Arizona,151579
Maricopa,Arizona,4281685
Mohave,Arizona,154479
Navajo,Arizona,99073
Pima,Arizona,963924
Pinal,Arizona,423028
Yavapai,Arizona,169981
Yuma,Arizona,207366
Benton,Arkansas,306209
Craighead,Arkansas,112852
Faulkner,Arkansas,133311
Garland,Arkansas,80382
Jefferson,Arkansas,57525
Lonoke,Arkansas,70009
Pulaski,Arkansas,371490
Saline,Arkansas,118743
Sebastian,Arkansas,119854
Washington,Arkansas,275318
White,Arkansas,73883
Alameda,California,1428134
Butte,California,204388
Contra Costa,California,1020329
El Dorado,California,151149
Fresno,California,1057749
Humboldt,California,119865
Imperial,California,188445
Kern,California,967252
Kings,California,160718
Lake,California,57736
Los Angeles,California,8736376
Madera,California,164178
Marin,California,198051
Mendocino,California,73419
Merced,California,314781
Monterey,California,428168
Napa,California,111686
Nevada,California,74753
Orange,California,2805456
Placer,California,366718
Riverside,California,2396842
Sacramento,California,1476970
San Benito,California,65241
San Bernardino,California,2200849
San Diego,California,3031689
San Francisco,California,641258
San Joaquin,California,799013
San Luis Obispo,California,254238
San Mateo,California,613169
Santa Barbara,California,448567
Santa Clara,California,1713761
Santa Cruz,California,240024
Shasta,California,156156
Solano,California,399520
Sonoma,California,395231
Stanislaus,California,554579
Sutter,California,94699
Tehama,California,60556
Tulare,California,518449
Ventura,California,747123
Yolo,California,237703
Yuba,California,88705
Adams,Colorado,529076
Arapahoe,Colorado,610811
Boulder,Colorado,310757
Broomfield,Colorado,68244
Denver,Colorado,662385
Douglas,Colorado,348840
El Paso,Colorado,724505
Jefferson,Colorado,487016
Larimer,Colorado,353368
Mesa,Colorado,138305
Pueblo,Colorado,150078
Weld,Colorado,357055
Capitol Planning Region,Connecticut,872962
Greater Bridgeport Planning Region,Connecticut,299891
Lower Connecticut River Valley Planning Region,Connecticut,140595
Naugatuck Valley Planning Region,Connecticut,391161
Northeastern Connecticut Planning Region,Connecticut,77205
Northwest Hills Planning Region,Connecticut,86479
South Central Connecticut Planning Region,Connecticut,502190
Southeastern Connecticut Planning Region,Connecticut,242628
Western Connecticut Planning Region,Connecticut,543620
Kent,Delaware,176000
New Castle,Delaware,519686
Sussex,Delaware,189300
District of Columbia,District of Columbia,649531
Alachua,Florida,303225
Bay,Florida,162611
Brevard,Florida,506544
Broward,Florida,1671596
Charlotte,Florida,123455
Citrus,Florida,111023
Clay,Florida,206607
Collier,Florida,294773
Columbia,Florida,61148
Duval,Florida,950804
Escambia,Florida,301965
Flagler,Florida,94284
Hernando,Florida,167863
Highlands,Florida,80669
Hillsborough,Florida,1411162
Indian River,Florida,116990
Lake,Florida,336855
Lee,Florida,633090
Leon,Florida,316668
Manatee,Florida,326590
Marion,Florida,319154
Martin,Florida,115101
Miami-Dade,Florida,2307792
Monroe,Florida,56699
Nassau,Florida,78097
Okaloosa,Florida,201126
Orange,Florida,1385728
Osceola,Florida,415166
Palm Beach,Florida,1244822
Pasco,Florida,530305
Pinellas,Florida,700737
Polk,Florida,746457
Putnam,Florida,62104
St. Johns,Florida,264346
St. Lucie,Florida,300906
Santa Rosa,Florida,177681
Sarasota,Florida,310424
Seminole,Florida,428837
Sumter,Florida,64783
Volusia,Florida,462205
Walton,Florida,71475
Barrow,Georgia,90872
Bartow,Georgia,104323
Bibb,Georgia,151087
Bulloch,Georgia,95883
Carroll,Georgia,126008
Catoosa,Georgia,60060
Chatham,Georgia,279507
Cherokee,Georgia,256939
Clarke,Georgia,142398
Clayton,Georgia,303446
Cobb,Georgia,722433
Columbia,Georgia,157690
Coweta,Georgia,139696
DeKalb,Georgia,708008
Dougherty,Georgia,78332
Douglas,Georgia,144747
Effingham,Georgia,69864
Fayette,Georgia,109128
Floyd,Georgia,92782
Forsyth,Georgia,257833
Fulton,Georgia,1009261
Glynn,Georgia,70689
Gwinnett,Georgia,968902
Hall,Georgia,201230
Henry,Georgia,244919
Houston,Georgia,168463
Jackson,Georgia,83381
Liberty,Georgia,78467
Lowndes,Georgia,127906
Muscogee,Georgia,196130
Newton,Georgia,116471
Paulding,Georgia,176250
Richmond,Georgia,196825
Rockdale,Georgia,90375
