county_name,state,mobility_rate
Morris, NJ,0.4381
DuPage, IL,0.3664
Fairfield, CT,0.3506
Shelby, AL,0.2784
Greenlee, AZ,0.2156
Kenai Peninsula Borough, AK,0.2032
Anchorage Municipality, AK,0.2002
Benton, AR,0.1994
Juneau City and Borough, AK,0.1987
Baldwin, AL,0.1935
Madison, AL,0.188
Maricopa, AZ,0.1879
Lee, AL,0.1866
Fairbanks North Star Borough, AK,0.1848
Lauderdale, AL,0.1844
Covington, AL,0.1791
Yavapai, AZ,0.1786
Morgan, AL,0.1748
Coconino, AZ,0.173
Matanuska-Susitna Borough, AK,0.1725
Coffee, AL,0.1702
Ketchikan Gateway Borough, AK,0.1657
Lamar, AL,0.1656
Colbert, AL,0.1648
Choctaw, AL,0.164
Jefferson, AL,0.1636
Fayette, AL,0.1632
Walker, AL,0.1631
Boone, AR,0.162
Autauga, AL,0.1597
Tuscaloosa, AL,0.1581
Pima, AZ,0.1578
Franklin, AL,0.1577
Clarke, AL,0.1568
Limestone, AL,0.1565
Elmore, AL,0.1552
Washington, AL,0.1551
Gila, AZ,0.1538
Baxter, AR,0.1534
Clark, AR,0.1531
Cochise, AZ,0.1526
Lawrence, AL,0.1522
Houston, AL,0.1509
Ashley, AR,0.1505
Cleburne, AL,0.1502
Cullman, AL,0.1482
Marshall, AL,0.1482
Mobile, AL,0.1481
Blount, AL,0.1474
Marion, AL,0.1468
Kodiak Island Borough, AK,0.1467
Monroe, AL,0.1464
Jackson, AL,0.1462
Mohave, AZ,0.1461
St. Clair, AL,0.1442
Chilton, AL,0.1424
Winston, AL,0.1409
Navajo, AZ,0.1384
Bibb, AL,0.138
Graham, AZ,0.1379
Montgomery, AL,0.1375
Marengo, AL,0.1368
Bradley, AR,0.1361
Arkansas, AR,0.1359
Dale, AL,0.1355
Etowah, AL,0.1354
Geneva, AL,0.1354
Escambia, AL,0.1333
Tallapoosa, AL,0.1327
Cherokee, AL,0.1286
DeKalb, AL,0.1269
Carroll, AR,0.1263
Calhoun, AL,0.1253
Clay, AR,0.1252
Yuma, AZ,0.1247
Crenshaw, AL,0.1217
Pike, AL,0.1187
Henry, AL,0.1184
Barbour, AL,0.1172
Randolph, AL,0.117
Pinal, AZ,0.1162
Clay, AL,0.1146
Talladega, AL,0.1142
Pickens, AL,0.1131
La Paz, AZ,0.1122
Butler, AL,0.1004
Dallas, AL,0.0983
Santa Cruz, AZ,0.0972
Conecuh, AL,0.0968
