cty,Name,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall
cty34027,"Morris County, NJ",0.4381
cty17043,"DuPage County, IL",0.3664
cty09001,"Fairfield County, CT",0.3506
cty01117,"Shelby County, AL",0.2784
cty04011,"Greenlee County, AZ",0.2156
cty02122,"Kenai Peninsula Borough, AK",0.2032
cty02020,"Anchorage Municipality, AK",0.2002
cty05007,"Benton County, AR",0.1994
cty02110,"Juneau City and Borough, AK",0.1987
cty01003,"Baldwin County, AL",0.1935
cty01089,"Madison County, AL",0.188
cty04013,"Maricopa County, AZ",0.1879
cty01081,"Lee County, AL",0.1866
cty02090,"Fairbanks North Star Borough, AK",0.1848
cty01077,"Lauderdale County, AL",0.1844
cty01039,"Covington County, AL",0.1791
cty04025,"Yavapai County, AZ",0.1786
cty01103,"Morgan County, AL",0.1748
cty04005,"Coconino County, AZ",0.173
cty02170,"Matanuska-Susitna Borough, AK",0.1725
cty01031,"Coffee County, AL",0.1702
cty02130,"Ketchikan Gateway Borough, AK",0.1657
cty01075,"Lamar County, AL",0.1656
cty01033,"Colbert County, AL",0.1648
cty01023,"Choctaw County, AL",0.164
cty01073,"Jefferson County, AL",0.1636
cty01057,"Fayette County, AL",0.1632
cty01127,"Walker County, AL",0.1631
cty05009,"Boone County, AR",0.162
cty01001,"Autauga County, AL",0.1597
cty01125,"Tuscaloosa County, AL",0.1581
cty04019,"Pima County, AZ",0.1578
cty01059,"Franklin County, AL",0.1577
cty01025,"Clarke County, AL",0.1568
cty01083,"Limestone County, AL",0.1565
cty01051,"Elmore County, AL",0.1552
cty01129,"Washington County, AL",0.1551
cty04007,"Gila County, AZ",0.1538
cty05005,"Baxter County, AR",0.1534
cty05019,"Clark County, AR",0.1531
cty04003,"Cochise County, AZ",0.1526
cty01079,"Lawrence County, AL",0.1522
cty01069,"Houston County, AL",0.1509
cty05003,"Ashley County, AR",0.1505
cty01029,"Cleburne County, AL",0.1502
cty01043,"Cullman County, AL",0.1482
cty01095,"Marshall County, AL",0.1482
cty01097,"Mobile County, AL",0.1481
cty01009,"Blount County, AL",0.1474
cty01093,"Marion County, AL",0.1468
cty02150,"Kodiak Island Borough, AK",0.1467
cty01099,"Monroe County, AL",0.1464
cty01071,"Jackson County, AL",0.1462
cty04015,"Mohave County, AZ",0.1461
cty01115,"St. Clair County, AL",0.1442
cty01021,"Chilton County, AL",0.1424
cty01133,"Winston County, AL",0.1409
cty04017,"Navajo County, AZ",0.1384
cty01007,"Bibb County, AL",0.138
cty04009,"Graham County, AZ",0.1379
cty01101,"Montgomery County, AL",0.1375
cty01091,"Marengo County, AL",0.1368
cty05011,"Bradley County, AR",0.1361
cty05001,"Arkansas County, AR",0.1359
cty01045,"Dale County, AL",0.1355
cty01055,"Etowah County, AL",0.1354
cty01061,"Geneva County, AL",0.1354
cty01053,"Escambia County, AL",0.1333
cty01123,"Tallapoosa County, AL",0.1327
cty01019,"Cherokee County, AL",0.1286
cty01049,"DeKalb County, AL",0.1269
cty05015,"Carroll County, AR",0.1263
cty01015,"Calhoun County, AL",0.1253
cty05021,"Clay County, AR",0.1252
cty04027,"Yuma County, AZ",0.1247
cty01041,"Crenshaw County, AL",0.1217
cty01109,"Pike County, AL",0.1187
cty01067,"Henry County, AL",0.1184
cty01005,"Barbour County, AL",0.1172
cty01111,"Randolph County, AL",0.117
cty04021,"Pinal County, AZ",0.1162
cty01027,"Clay County, AL",0.1146
cty01121,"Talladega County, AL",0.1142
cty01107,"Pickens County, AL",0.1131
cty04012,"La Paz County, AZ",0.1122
cty01013,"Butler County, AL",0.1004
cty01047,"Dallas County, AL",0.0983
cty04023,"Santa Cruz County, AZ",0.0972
cty01035,"Conecuh County, AL",0.0968
cty01131,"Wilcox County, AL",0.0901
cty05017,"Chicot County, AR",0.0882
cty01037,"Coosa County, AL",0.0871
cty01017,"Chambers County, AL",0.084
cty01065,"Hale County, AL",0.0815
cty01113,"Russell County, AL",0.0784
cty04001,"Apache County, AZ",0.0675
cty01011,"Bullock County, AL",0.0642
cty01119,"Sumter County, AL",0.0596
cty01063,"Greene County, AL",0.054
cty01105,"Perry County, AL",0.0527
cty01087,"Macon County, AL",0.0513
cty02188,"Northwest Arctic Borough, AK",0.0512
cty01085,"Lowndes County, AL",0.0476
cty02050,"Bethel Census Area, AK",0.0382
cty02270,,
cty38105,"Williams County, ND",0.4273
cty38089,"Stark County, ND",0.4239
cty36059,"Nassau County, NY",0.421
cty36079,"Putnam County, NY",0.4004
cty36087,"Rockland County, NY",0.3798
cty36119,"Westchester County, NY",0.3717
cty36085,"Richmond County, NY",0.3699
cty38009,"Bottineau County, ND",0.365
cty42091,"Montgomery County, PA",0.3642
cty38097,"Traill County, ND",0.3611
cty42029,"Chester County, PA",0.3602
cty38015,"Burleigh County, ND",0.3469
cty42017,"Bucks County, PA",0.3454
cty36103,"Suffolk County, NY",0.3442
cty38077,"Richland County, ND",0.3424
cty38059,"Morton County, ND",0.3378
cty48285,"Lavaca County, TX",0.3374
cty44001,"Bristol County, RI",0.3307
cty48085,"Collin County, TX",0.3278
cty48071,"Chambers County, TX",0.3263
cty38101,"Ward County, ND",0.3193
cty42045,"Delaware County, PA",0.318
cty38099,"Walsh County, ND",0.3168
cty48003,"Andrews County, TX",0.3118
cty48329,"Midland County, TX",0.3096
cty38017,"Cass County, ND",0.3058
cty49043,"Summit County, UT",0.3048
cty47187,"Williamson County, TN",0.3024
cty48009,"Archer County, TX",0.2975
cty48383,"Reagan County, TX",0.2971
cty48501,"Yoakum County, TX",0.2959
cty36091,"Saratoga County, NY",0.2952
cty39041,"Delaware County, OH",0.2947
cty49047,"Uintah County, UT",0.2946
cty40073,"Kingfisher County, OK",0.2939
cty48157,"Fort Bend County, TX",0.2935
cty48103,"Crane County, TX",0.2934
cty42125,"Washington County, PA",0.2933
cty46065,"Hughes County, SD",0.2929
cty38093,"Stutsman County, ND",0.2927
cty48339,"Montgomery County, TX",0.289
cty38035,"Grand Forks County, ND",0.2889
cty48397,"Rockwall County, TX",0.2878
cty44009,"Washington County, RI",0.2866
cty46127,"Union County, SD",0.285
cty36093,"Schenectady County, NY",0.2838
cty48357,"Ochiltree County, TX",0.2838
cty42129,"Westmoreland County, PA",0.283
cty48475,"Ward County, TX",0.283
cty39107,"Mercer County, OH",0.2825
cty39055,"Geauga County, OH",0.2824
cty42077,"Lehigh County, PA",0.2819
cty38071,"Ramsey County, ND",0.2812
cty48259,"Kendall County, TX",0.2809
cty42019,"Butler County, PA",0.2787
cty46083,"Lincoln County, SD",0.2783
cty46051,"Grant County, SD",0.2782
cty42003,"Allegheny County, PA",0.2781
cty42093,"Montour County, PA",0.278
cty48149,"Fayette County, TX",0.2778
cty48015,"Austin County, TX",0.2777
cty44003,"Kent County, RI",0.2771
cty36071,"Orange County, NY",0.2769
cty50007,"Chittenden County, VT",0.2756
cty48199,"Hardin County, TX",0.2748
cty46011,"Brookings County, SD",0.2744
cty40093,"Major County, OK",0.2739
cty48233,"Hutchinson County, TX",0.2732
cty39137,"Putnam County, OH",0.273
cty42095,"Northampton County, PA",0.2727
cty48381,"Randall County, TX",0.2721
cty46013,"Brown County, SD",0.2715
cty48495,"Winkler County, TX",0.271
cty38003,"Barnes County, ND",0.2709
cty42063,"Indiana County, PA",0.2701
cty48039,"Brazoria County, TX",0.2695
cty40009,"Beckham County, OK",0.2688
cty42041,"Cumberland County, PA",0.268
cty46115,"Spink County, SD",0.2676
cty48121,"Denton County, TX",0.2671
cty44005,"Newport County, RI",0.2634
cty36083,"Rensselaer County, NY",0.2626
cty48195,"Hansford County, TX",0.262
cty42027,"Centre County, PA",0.2611
cty42059,"Greene County, PA",0.2608
cty48165,"Gaines County, TX",0.2604
cty46129,"Walworth County, SD",0.2603
cty40149,"Washita County, OK",0.26
cty42011,"Berks County, PA",0.2599
cty37135,"Orange County, NC",0.2598
cty46081,"Lawrence County, SD",0.2592
cty48297,"Live Oak County, TX",0.2587
cty46035,"Davison County, SD",0.2586
cty46125,"Turner County, SD",0.2586
cty37183,"Wake County, NC",0.2579
cty40153,"Woodward County, OK",0.2568
cty42021,"Cambria County, PA",0.2555
cty36067,"Onondaga County, NY",0.2552
cty46079,"Lake County, SD",0.2548
cty46135,"Yankton County, SD",0.2523
cty48361,"Orange County, TX",0.2522
cty48491,"Williamson County, TX",0.2517
cty40151,"Woods County, OK",0.2516
cty46037,"Day County, SD",0.2516
cty46123,"Tripp County, SD",0.2516
cty42069,"Lackawanna County, PA",0.2512
cty48135,"Ector County, TX",0.2511
cty48289,"Leon County, TX",0.2509
cty39173,"Wood County, OH",0.2508
cty42079,"Luzerne County, PA",0.25
cty41067,"Washington County, OR",0.2494
cty41003,"Benton County, OR",0.2489
cty40039,"Custer County, OK",0.2487
cty39165,"Warren County, OH",0.2483
cty42007,"Beaver County, PA",0.2482
cty46067,"Hutchinson County, SD",0.248
cty48179,"Gray County, TX",0.2479
cty36111,"Ulster County, NY",0.2476
cty36081,"Queens County, NY",0.2472
cty42131,"Wyoming County, PA",0.2465
cty36055,"Monroe County, NY",0.2462
cty41005,"Clackamas County, OR",0.2461
cty42103,"Pike County, PA",0.246
cty46099,"Minnehaha County, SD",0.2458
cty48057,"Calhoun County, TX",0.2456
cty40017,"Canadian County, OK",0.2455
cty48171,"Gillespie County, TX",0.2453
cty48415,"Scurry County, TX",0.2448
cty48477,"Washington County, TX",0.2448
cty48365,"Panola County, TX",0.2447
cty49013,"Duchesne County, UT",0.2443
cty48237,"Jack County, TX",0.2441
cty42047,"Elk County, PA",0.2437
cty36069,"Ontario County, NY",0.2436
cty48287,"Lee County, TX",0.2435
cty42133,"York County, PA",0.2431
cty42005,"Armstrong County, PA",0.2423
cty48123,"DeWitt County, TX",0.2421
cty39011,"Auglaize County, OH",0.2418
cty40147,"Washington County, OK",0.2412
cty46027,"Clay County, SD",0.2407
cty36113,"Warren County, NY",0.2406
cty46029,"Codington County, SD",0.2396
cty39085,"Lake County, OH",0.2395
cty44007,"Providence County, RI",0.2392
cty48239,"Jackson County, TX",0.2391
cty39103,"Medina County, OH",0.2383
cty48167,"Galveston County, TX",0.238
cty49011,"Davis County, UT",0.2379
cty48391,"Refugio County, TX",0.2377
cty48161,"Freestone County, TX",0.2357
cty48219,"Hockley County, TX",0.2355
cty48089,"Colorado County, TX",0.2354
cty42031,"Clarion County, PA",0.2352
cty48091,"Comal County, TX",0.2349
cty48497,"Wise County, TX",0.234
cty49007,"Carbon County, UT",0.2336
cty42107,"Schuylkill County, PA",0.2335
cty48367,"Parker County, TX",0.2332
cty50023,"Washington County, VT",0.2331
cty36065,"Oneida County, NY",0.232
cty48335,"Mitchell County, TX",0.2314
cty48469,"Victoria County, TX",0.2313
cty36109,"Tompkins County, NY",0.2309
cty40027,"Cleveland County, OK",0.2307
cty42025,"Carbon County, PA",0.2302
cty40067,"Jefferson County, OK",0.2295
cty42071,"Lancaster County, PA",0.2292
cty42001,"Adams County, PA",0.2287
cty49051,"Wasatch County, UT",0.2286
cty39061,"Hamilton County, OH",0.2285
cty39013,"Belmont County, OH",0.2273
cty46005,"Beadle County, SD",0.2264
cty50027,"Windsor County, VT",0.2263
cty49049,"Utah County, UT",0.226
cty46101,"Moody County, SD",0.2258
cty42037,"Columbia County, PA",0.2257
cty48503,"Young County, TX",0.2256
cty42075,"Lebanon County, PA",0.2253
cty48051,"Burleson County, TX",0.2248
cty48321,"Matagorda County, TX",0.2246
cty42073,"Lawrence County, PA",0.2245
cty46109,"Roberts County, SD",0.224
cty42105,"Potter County, PA",0.2238
cty48371,"Pecos County, TX",0.2229
cty40011,"Blaine County, OK",0.2227
cty48201,"Harris County, TX",0.2227
cty46033,"Custer County, SD",0.2222
cty48077,"Clay County, TX",0.2222
cty42015,"Bradford County, PA",0.2219
cty48097,"Cooke County, TX",0.2219
cty39123,"Ottawa County, OH",0.2214
cty40137,"Stephens County, OK",0.2212
cty39045,"Fairfield County, OH",0.221
cty42119,"Union County, PA",0.2208
cty48493,"Wilson County, TX",0.2208
cty49035,"Salt Lake County, UT",0.2208
cty50021,"Rutland County, VT",0.2206
cty39017,"Butler County, OH",0.2205
cty48221,"Hood County, TX",0.2197
cty36053,"Madison County, NY",0.2192
cty42051,"Fayette County, PA",0.2191
cty48041,"Brazos County, TX",0.2189
cty46047,"Fall River County, SD",0.2185
cty40119,"Payne County, OK",0.2183
cty48193,"Hamilton County, TX",0.2178
cty39063,"Hancock County, OH",0.2177
cty46009,"Bon Homme County, SD",0.2177
cty42043,"Dauphin County, PA",0.2175
cty48337,"Montague County, TX",0.2175
cty42089,"Monroe County, PA",0.2173
cty46019,"Butte County, SD",0.2169
cty48291,"Liberty County, TX",0.2163
cty36051,"Livingston County, NY",0.2155
cty48227,"Howard County, TX",0.2146
cty48473,"Waller County, TX",0.2145
cty39057,"Greene County, OH",0.2144
cty40139,"Texas County, OK",0.2144
cty48245,"Jefferson County, TX",0.2139
cty48505,"Zapata County, TX",0.213
cty39159,"Union County, OH",0.2125
cty42085,"Mercer County, PA",0.2123
cty36049,"Lewis County, NY",0.2122
cty42127,"Wayne County, PA",0.2121
cty47127,"Moore County, TN",0.2118
cty42049,"Erie County, PA",0.2114
cty39069,"Henry County, OH",0.2113
cty48439,"Tarrant County, TX",0.2112
cty36105,"Sullivan County, NY",0.2111
cty40143,"Tulsa County, OK",0.211
cty36063,"Niagara County, NY",0.2107
cty48043,"Brewster County, TX",0.2106
cty36077,"Otsego County, NY",0.2105
cty48209,"Hays County, TX",0.2103
cty48481,"Wharton County, TX",0.2098
cty39149,"Shelby County, OH",0.2095
cty36099,"Seneca County, NY",0.2088
cty36089,"St. Lawrence County, NY",0.2083
cty36075,"Oswego County, NY",0.2081
cty39109,"Miami County, OH",0.208
cty48183,"Gregg County, TX",0.208
cty36057,"Montgomery County, NY",0.2079
cty40047,"Garfield County, OK",0.2078
cty48139,"Ellis County, TX",0.2076
cty39025,"Clermont County, OH",0.2074
cty41049,"Morrow County, OR",0.2074
cty46103,"Pennington County, SD",0.2073
cty39035,"Cuyahoga County, OH",0.2071
cty40087,"McClain County, OK",0.2071
cty42055,"Franklin County, PA",0.2065
cty42099,"Perry County, PA",0.2064
cty46023,"Charles Mix County, SD",0.2063
cty40131,"Rogers County, OK",0.2059
cty42083,"McKean County, PA",0.2059
cty48453,"Travis County, TX",0.2057
cty36101,"Steuben County, NY",0.2055
cty36107,"Tioga County, NY",0.2053
cty39099,"Mahoning County, OH",0.2051
cty39111,"Monroe County, OH",0.205
cty40051,"Grady County, OK",0.205
cty42081,"Lycoming County, PA",0.205
cty42013,"Blair County, PA",0.2049
cty48255,"Karnes County, TX",0.2048
cty49027,"Millard County, UT",0.2046
cty42111,"Somerset County, PA",0.2043
cty42115,"Susquehanna County, PA",0.2042
cty49005,"Cache County, UT",0.2042
cty48341,"Moore County, TX",0.2041
cty48059,"Callahan County, TX",0.203
cty42097,"Northumberland County, PA",0.2029
cty39153,"Summit County, OH",0.2027
cty36121,"Wyoming County, NY",0.2026
cty40071,"Kay County, OK",0.202
cty42039,"Crawford County, PA",0.202
cty50001,"Addison County, VT",0.2019
cty42117,"Tioga County, PA",0.2018
cty48131,"Duval County, TX",0.2012
cty36043,"Herkimer County, NY",0.201
cty37119,"Mecklenburg County, NC",0.2009
cty50011,"Franklin County, VT",0.2008
cty42065,"Jefferson County, PA",0.2003
cty39039,"Defiance County, OH",0.2
cty40103,"Noble County, OK",0.1999
cty48143,"Erath County, TX",0.1997
cty39043,"Erie County, OH",0.1996
cty49037,"San Juan County, UT",0.199
cty48409,"San Patricio County, TX",0.1987
cty39051,"Fulton County, OH",0.1985
cty40083,"Logan County, OK",0.1985
cty48251,"Johnson County, TX",0.1984
cty41037,"Lake County, OR",0.1981
cty48249,"Jim Wells County, TX",0.1973
cty42033,"Clearfield County, PA",0.1972
cty48007,"Aransas County, TX",0.1972
cty36095,"Schoharie County, NY",0.1968
cty39167,"Washington County, OH",0.1965
cty40099,"Murray County, OK",0.1962
cty50003,"Bennington County, VT",0.1961
cty49003,"Box Elder County, UT",0.1959
cty36045,"Jefferson County, NY",0.1958
cty48133,"Eastland County, TX",0.1957
cty36117,"Wayne County, NY",0.1953
cty39081,"Jefferson County, OH",0.1953
cty48389,"Reeves County, TX",0.1952
cty39161,"Van Wert County, OH",0.1951
cty48369,"Parmer County, TX",0.1943
cty48471,"Walker County, TX",0.1934
cty36115,"Washington County, NY",0.1932
cty39049,"Franklin County, OH",0.1931
cty39151,"Stark County, OH",0.1929
cty48331,"Milam County, TX",0.1929
cty48423,"Smith County, TX",0.1917
cty39125,"Paulding County, OH",0.1914
cty39157,"Tuscarawas County, OH",0.1914
cty45063,"Lexington County, SC",0.1913
cty40145,"Wagoner County, OK",0.1912
cty41039,"Lane County, OR",0.1912
cty50025,"Windham County, VT",0.191
cty41017,"Deschutes County, OR",0.1907
cty37059,"Davie County, NC",0.1904
cty48265,"Kerr County, TX",0.1903
cty39133,"Portage County, OH",0.1901
cty47165,"Sumner County, TN",0.1898
cty47189,"Wilson County, TN",0.1898
cty40069,"Johnston County, OK",0.1897
cty41051,"Multnomah County, OR",0.1897
cty39175,"Wyandot County, OH",0.1895
cty48401,"Rusk County, TX",0.1895
cty42109,"Snyder County, PA",0.1893
cty40123,"Pontotoc County, OK",0.189
cty39095,"Lucas County, OH",0.1889
cty39121,"Noble County, OH",0.1888
cty48485,"Wichita County, TX",0.1886
cty39067,"Harrison County, OH",0.1883
cty46093,"Meade County, SD",0.1883
cty48273,"Kleberg County, TX",0.1881
cty49053,"Washington County, UT",0.1877
cty39037,"Darke County, OH",0.1876
cty49057,"Weber County, UT",0.1876
cty40077,"Latimer County, OK",0.1874
cty41035,"Klamath County, OR",0.1872
cty48351,"Newton County, TX",0.1869
cty41009,"Columbia County, OR",0.1867
cty48445,"Terry County, TX",0.1867
cty48441,"Taylor County, TX",0.1865
cty48499,"Wood County, TX",0.1861
cty36061,"New York County, NY",0.1859
cty48053,"Burnet County, TX",0.1859
cty39147,"Seneca County, OH",0.1856
cty41053,"Polk County, OR",0.1856
cty42035,"Clinton County, PA",0.1853
cty48017,"Bailey County, TX",0.1853
cty39003,"Allen County, OH",0.1847
cty42061,"Huntingdon County, PA",0.1847
cty42123,"Warren County, PA",0.1845
cty48303,"Lubbock County, TX",0.1844
cty40109,"Oklahoma County, OK",0.1843
cty49045,"Tooele County, UT",0.1843
cty40085,"Love County, OK",0.184
cty48325,"Medina County, TX",0.184
cty49039,"Sanpete County, UT",0.1836
cty49041,"Sevier County, UT",0.1836
cty37129,"New Hanover County, NC",0.1833
cty42009,"Bedford County, PA",0.1833
cty48115,"Dawson County, TX",0.1828
cty41065,"Wasco County, OR",0.1826
cty42121,"Venango County, PA",0.1822
cty48379,"Rains County, TX",0.1821
cty40019,"Carter County, OK",0.182
cty42067,"Juniata County, PA",0.182
cty39143,"Sandusky County, OH",0.1818
cty41007,"Clatsop County, OR",0.1818
cty49019,"Grand County, UT",0.1817
cty48093,"Comanche County, TX",0.1812
cty50017,"Orange County, VT",0.1812
cty48013,"Atascosa County, TX",0.1811
cty48019,"Bandera County, TX",0.1811
cty37067,"Forsyth County, NC",0.1806
cty39005,"Ashland County, OH",0.1802
cty48153,"Floyd County, TX",0.1801
cty41071,"Yamhill County, OR",0.1798
cty40037,"Creek County, OK",0.1797
cty45045,"Greenville County, SC",0.1797
cty39169,"Wayne County, OH",0.1793
cty39155,"Trumbull County, OH",0.1792
cty48035,"Bosque County, TX",0.1789
cty48403,"Sabine County, TX",0.1788
cty37189,"Watauga County, NC",0.178
cty49021,"Iron County, UT",0.1779
cty48459,"Upshur County, TX",0.1778
cty40049,"Garvin County, OK",0.1777
cty48299,"Llano County, TX",0.1777
cty37179,"Union County, NC",0.1776
cty47093,"Knox County, TN",0.1776
cty48083,"Coleman County, TX",0.1776
cty40055,"Greer County, OK",0.1775
cty37081,"Guilford County, NC",0.1774
cty48181,"Grayson County, TX",0.1773
cty48355,"Nueces County, TX",0.1773
cty48049,"Brown County, TX",0.1772
cty36123,"Yates County, NY",0.1768
cty48187,"Guadalupe County, TX",0.1767
cty41047,"Marion County, OR",0.1766
cty41063,"Wallowa County, OR",0.1764
cty42057,"Fulton County, PA",0.1763
cty49023,"Juab County, UT",0.1762
cty41061,"Union County, OR",0.1757
cty48467,"Van Zandt County, TX",0.1757
cty47085,"Humphreys County, TN",0.1755
cty48075,"Childress County, TX",0.1754
cty45013,"Beaufort County, SC",0.1753
cty37125,"Moore County, NC",0.1752
cty39093,"Lorain County, OH",0.1752
cty48207,"Haskell County, TX",0.1752
cty39129,"Pickaway County, OH",0.1751
cty48241,"Jasper County, TX",0.175
cty40105,"Nowata County, OK",0.1748
cty41023,"Grant County, OR",0.1748
cty48257,"Kaufman County, TX",0.1743
cty45003,"Aiken County, SC",0.1742
cty48399,"Runnels County, TX",0.1742
cty39171,"Williams County, OH",0.1741
cty41025,"Harney County, OR",0.174
cty50015,"Lamoille County, VT",0.1736
cty39083,"Knox County, OH",0.1734
cty48047,"Brooks County, TX",0.1732
cty41059,"Umatilla County, OR",0.1731
cty48451,"Tom Green County, TX",0.1729
cty37025,"Cabarrus County, NC",0.1725
cty50005,"Caledonia County, VT",0.1723
cty37063,"Durham County, NC",0.1721
cty48419,"Shelby County, TX",0.1715
cty39113,"Montgomery County, OH",0.1712
cty36047,"Kings County, NY",0.1711
cty48113,"Dallas County, TX",0.171
cty48363,"Palo Pinto County, TX",0.1707
cty48223,"Hopkins County, TX",0.1703
cty48203,"Harrison County, TX",0.1701
cty48217,"Hill County, TX",0.1701
cty48293,"Limestone County, TX",0.17
cty41043,"Linn County, OR",0.1699
cty41027,"Hood River County, OR",0.1698
cty41029,"Jackson County, OR",0.1698
cty48159,"Franklin County, TX",0.1697
cty36073,"Orleans County, NY",0.1696
cty37147,"Pitt County, NC",0.1696
cty39029,"Columbiana County, OH",0.1696
cty39009,"Athens County, OH",0.1691
cty45035,"Dorchester County, SC",0.1688
cty42087,"Mifflin County, PA",0.1686
cty48373,"Polk County, TX",0.1685
cty48005,"Angelina County, TX",0.1683
cty48231,"Hunt County, TX",0.1683
cty41001,"Baker County, OR",0.168
cty48457,"Tyler County, TX",0.1674
cty47065,"Hamilton County, TN",0.1672
cty39077,"Huron County, OH",0.1671
cty48197,"Hardeman County, TX",0.1671
cty47163,"Sullivan County, TN",0.167
cty37089,"Henderson County, NC",0.1663
cty40117,"Pawnee County, OK",0.1661
cty48001,"Anderson County, TX",0.1661
cty48213,"Henderson County, TX",0.166
cty37031,"Carteret County, NC",0.1659
cty39091,"Logan County, OH",0.1654
cty39089,"Licking County, OH",0.1653
cty37137,"Pamlico County, NC",0.165
cty37167,"Stanly County, NC",0.165
cty48037,"Bowie County, TX",0.1649
cty40121,"Pittsburg County, OK",0.1648
cty48281,"Lampasas County, TX",0.1646
cty48279,"Lamb County, TX",0.1644
cty41015,"Curry County, OR",0.1643
cty49025,"Kane County, UT",0.1642
cty39101,"Marion County, OH",0.1641
cty48309,"McLennan County, TX",0.1637
cty48411,"San Saba County, TX",0.1637
cty40113,"Osage County, OK",0.1631
cty39033,"Crawford County, OH",0.163
cty47149,"Rutherford County, TN",0.163
cty48347,"Nacogdoches County, TX",0.1628
cty40065,"Jackson County, OK",0.1626
cty48067,"Cass County, TX",0.1626
cty47103,"Lincoln County, TN",0.1625
cty48185,"Grimes County, TX",0.1625
cty37029,"Camden County, NC",0.1624
cty37001,"Alamance County, NC",0.1623
cty48025,"Bee County, TX",0.1623
cty37055,"Dare County, NC",0.162
cty42101,"Philadelphia County, PA",0.1619
cty42023,"Cameron County, PA",0.1616
cty40081,"Lincoln County, OK",0.1615
cty40097,"Mayes County, OK",0.1614
cty50019,"Orleans County, VT",0.1614
cty39019,"Carroll County, OH",0.1611
cty48487,"Wilbarger County, TX",0.1611
cty48429,"Stephens County, TX",0.161
cty48111,"Dallam County, TX",0.1608
cty48343,"Morris County, TX",0.1608
cty40013,"Bryan County, OK",0.1607
cty48107,"Crosby County, TX",0.1606
cty39065,"Hardin County, OH",0.1605
cty39119,"Muskingum County, OH",0.1605
cty41041,"Lincoln County, OR",0.1604
cty37197,"Yadkin County, NC",0.1598
cty45091,"York County, SC",0.1597
cty37035,"Catawba County, NC",0.159
cty36097,"Schuyler County, NY",0.1586
cty40079,"Le Flore County, OK",0.1586
cty37021,"Buncombe County, NC",0.1582
cty39139,"Richland County, OH",0.1582
cty48349,"Navarro County, TX",0.1579
cty48407,"San Jacinto County, TX",0.1579
cty41057,"Tillamook County, OR",0.157
cty41019,"Douglas County, OR",0.1567
cty47145,"Roane County, TN",0.1567
cty41013,"Crook County, OR",0.1565
cty41011,"Coos County, OR",0.1555
cty37109,"Lincoln County, NC",0.1553
cty39117,"Morrow County, OH",0.1552
cty39021,"Champaign County, OH",0.1551
cty40075,"Kiowa County, OK",0.155
cty47051,"Franklin County, TN",0.1547
cty41033,"Josephine County, OR",0.1546
cty37037,"Chatham County, NC",0.1544
cty48247,"Jim Hogg County, TX",0.1544
cty37127,"Nash County, NC",0.1541
cty40061,"Haskell County, OK",0.1534
cty48063,"Camp County, TX",0.1533
cty45073,"Oconee County, SC",0.1532
cty37053,"Currituck County, NC",0.153
cty40029,"Coal County, OK",0.153
cty48177,"Gonzales County, TX",0.1528
cty48021,"Bastrop County, TX",0.1526
cty48073,"Cherokee County, TX",0.152
cty48029,"Bexar County, TX",0.1517
cty48455,"Trinity County, TX",0.1515
cty39023,"Clark County, OH",0.1514
cty40101,"Muskogee County, OK",0.1514
cty40063,"Hughes County, OK",0.1512
cty40005,"Atoka County, OK",0.1508
cty47119,"Maury County, TN",0.1507
cty47113,"Madison County, TN",0.1505
cty47147,"Robertson County, TN",0.1505
cty37193,"Wilkes County, NC",0.1501
cty48277,"Lamar County, TX",0.1501
cty45019,"Charleston County, SC",0.15
cty39053,"Gallia County, OH",0.1495
cty39059,"Guernsey County, OH",0.1495
cty48027,"Bell County, TX",0.1495
cty37101,"Johnston County, NC",0.149
cty37041,"Chowan County, NC",0.1489
cty45083,"Spartanburg County, SC",0.1488
cty48253,"Jones County, TX",0.1488
cty48353,"Nolan County, TX",0.1488
cty39097,"Madison County, OH",0.1487
cty48117,"Deaf Smith County, TX",0.1483
cty37149,"Polk County, NC",0.1478
cty40125,"Pottawatomie County, OK",0.1478
cty48069,"Castro County, TX",0.1478
cty39027,"Clinton County, OH",0.1477
cty37097,"Iredell County, NC",0.1476
cty40095,"Marshall County, OK",0.1471
